域,信号,口径,形态,K,tilt,gross,te,tw,n,net13,ir13,net20,ir20,net25,ir25
gz2000,下尾,原始,exclude,0.2,1.0,0.09493959161045495,0.02515007165022305,0.09375027426865401,484,0.0654457553255364,2.5987707519987286,0.04956445886442641,1.9656542518143651,0.038220675677919286,1.5140500836018844
gz2000,下尾,原始,exclude,0.3,1.0,0.11478511830500793,0.033281277022373934,0.1115379389252247,484,0.07969528271913223,2.39016529982759,0.060800755865199174,1.8210542689556943,0.047304665255246986,1.4152712642653393
gz2000,下尾,原始,exclude,0.4,1.0,0.13405853701988235,0.040849469342681764,0.13158197032772984,484,0.09266284915477854,2.264155210299958,0.07037286338126111,1.7173465264581123,0.0544514449716058,1.3274680028380794
gz2000,下尾,原始,tilt,0.2,1.5,0.1014406177598417,0.029586383306825562,0.10335426788380304,484,0.06892536508359726,2.326713630669138,0.05141715210408103,1.733840287070756,0.03891128569014086,1.31091298145786
gz2000,下尾,原始,tilt,0.2,2.0,0.10669563545812241,0.033548472418522206,0.11173721221376705,484,0.07154310849567129,2.1299956568026706,0.052614824746659156,1.5649823498290094,0.03909462206879334,1.1619026310613005
gz2000,下尾,原始,tilt,0.3,1.5,0.11850289708011069,0.03832851302484778,0.11875749278258112,484,0.08114178985071069,2.113656703724238,0.061024270573341435,1.587868533397285,0.04665461394664913,1.2128846518969403
gz2000,下尾,原始,tilt,0.3,2.0,0.12117853518650844,0.04219442723941925,0.12471548420370708,484,0.08194304385602219,1.939264754584893,0.0608162408319142,1.4378799738310857,0.045725667243265655,1.0802497897510448
gz2000,下尾,原始,topn,0.3,1.0,0.13791329503874294,0.06767318491243421,0.1624064310161763,484,0.08682023184105388,1.2822897406500053,0.05930858242691361,0.875620723486371,0.0396574042739563,0.5853055098481857
gz2000,下尾,原始,topn,0.5,1.0,0.11060739935783204,0.0508180253524804,0.1251984117840087,484,0.0712199790105829,1.4005314407174354,0.05001136805437182,0.9829338281794525,0.03486236022850677,0.6848737797316622
gz2000,下尾,中性化,exclude,0.1,1.0,0.05258439203542773,0.008024351988661789,0.0810771656578134,483,0.027077515719479636,3.3410603816003945,0.013343043857046051,1.6295242394880323,0.0035327068124506363,0.42742645723736344
gz2000,下尾,中性化,exclude,0.2,1.0,0.07363789873274802,0.014759344257571264,0.11068910123908061,483,0.038815107482933264,2.62266064735142,0.020064373733033016,1.3516448277621325,0.006670992483104258,0.4481436129493355
gz2000,下尾,中性化,exclude,0.3,1.0,0.09004569570360392,0.021314633144233007,0.13903338322229195,483,0.04630579334187088,2.1687566036490544,0.022753538224014613,1.0638706520195482,0.00593049885411729,0.2768626088949183
gz2000,下尾,中性化,exclude,0.4,1.0,0.10798959219230504,0.02715019252082447,0.16800281985513196,483,0.05513590506588053,2.0273947438489075,0.02667622738242118,0.9795250730045024,0.00634788617995021,0.23280263736651766
gz2000,下尾,中性化,tilt,0.2,1.5,0.07765446474044384,0.017189230706840596,0.1309480566031958,483,0.03645820613307844,2.116400042565684,0.014275605344497065,0.8268211927208137,-0.001569109504489619,-0.09069102654846097
gz2000,下尾,中性化,tilt,0.2,2.0,0.08091371424203118,0.01949285093382844,0.14839578592721892,483,0.03422839998932811,1.7527263235330564,0.009090153853257238,0.464617675357112,-0.008865736243936254,-0.45238420575061905
gz2000,下尾,中性化,tilt,0.3,1.5,0.09216850011094219,0.024201043794023977,0.15762551937191044,483,0.04257951171653915,1.757254693116804,0.01587774873493752,0.6544678115351815,-0.0031949391090636404,-0.13154504347672358
gz2000,下尾,中性化,tilt,0.3,2.0,0.09373226843140725,0.026566753365551542,0.1722554600240682,483,0.0395407007078354,1.4867160501609697,0.010360625779758255,0.38914046744898634,-0.010482284883154006,-0.3933306699169081
