feat,gain_down,gain_up,share_down,share_up,下尾偏好,family,agg
order_lifetime_tail_5m|mean,11288.474716186523,3769.8324813842773,0.004976578377741752,0.003618608824471037,0.0013579695532707145,大单/分单,mean
dominant_actor_share_5m|lh,3336.4028358459473,157.2035026550293,0.001470869238737714,0.00015089741646460674,0.001319971822273107,其他,lh
humble_buildup_vs_display_5m|lh,9197.588170051575,2922.8894939422607,0.004054800986427232,0.0028056402420962123,0.00124916074433102,情绪/行为偏差,lh
sell_wall_fill_rate_5m|mean,4516.7212924957275,837.654896736145,0.001991218307845356,0.00080405307560981,0.001187165232235546,其他,mean
dominant_actor_share_5m|mean,3647.004325866699,468.90350341796875,0.0016077993996491098,0.00045009383405561623,0.0011577055655934937,其他,mean
downlimit_buy_support_5m|lh,15245.576555252075,5821.312308311462,0.006721085757696125,0.005587795264876773,0.0011332904928193525,涨跌停/封板,lh
disposition_effect_proxy_5m|std,4174.143789291382,828.7648000717163,0.001840191367712966,0.000795519597690258,0.001044671770022708,情绪/行为偏差,std
red_queen_queue_arms_race_5m|mean,4786.623928070068,1112.7393999099731,0.0021102061830069823,0.0010681027954781387,0.0010421033875288436,队列/排队,mean
fill_frag_5m|mean,3790.7612075805664,664.4529933929443,0.0016711753124429769,0.0006377990208347436,0.0010333762916082331,其他,mean
soc_avalanche_5m|mean,3226.5591430664062,419.06560134887695,0.0014224441184126325,0.0004022551374793384,0.001020188980933294,其他,mean
downlimit_capitulation_vs_defense_5m|mean,3841.483503341675,729.478497505188,0.0016935364805104576,0.0007002160815816552,0.0009933203989288025,涨跌停/封板,mean
cancel_timed_adverse_avoidance_5m|std,4180.932283401489,896.3713960647583,0.0018431841079949941,0.0008604142119896812,0.000982769896005313,撤单/犹豫,std
impact_perm_side_asym_5m|lh,6141.432416915894,1834.7006940841675,0.0027074800221292264,0.001761103220013174,0.0009463768021160523,侵略性/主动,lh
retail_chase_5m|mean,3153.8484897613525,483.6454048156738,0.0013903892771548894,0.00046424437648704786,0.0009261449006678416,大单/分单,mean
disposition_effect_proxy_5m|mean,3225.01141166687,633.7062044143677,0.001421761793580347,0.000608285613416393,0.000813476180163954,情绪/行为偏差,mean
passive_buy_depth_dist_5m|std,3520.322010040283,786.8033981323242,0.0015519508913577284,0.000755241442070647,0.0007967094492870813,流动性/枯竭,std
small_order_arrival_share_5m|lh,5402.099504470825,1734.13210105896,0.002381541551385154,0.001664568851448335,0.0007169726999368192,侵略性/主动,lh
supernormal_stimulus_overresponse_5m|mean,3056.829490661621,660.2463054656982,0.0013476179847270867,0.0006337610806529192,0.0007138569040741675,其他,mean
downlimit_buy_support_5m|std,8768.530163764954,3303.614305496216,0.003865648700527946,0.003171092598291713,0.0006945561022362332,涨跌停/封板,std
ultimatum_greedy_ask_rejection_5m|lh,2652.6940898895264,513.6329069137573,0.0011694529493500281,0.0004930289551790227,0.0006764239941710054,其他,lh
perishable_opportunity_urgency_5m|std,4069.54660987854,1246.7753019332886,0.0017940791980420423,0.001196761960110145,0.0005973172379318973,其他,std
group_polarization_drift_5m|std,1831.2989025115967,284.86319732666016,0.0008073369299710114,0.0002734361499359715,0.0005339007800350399,其他,std
order_price_range_skew_5m|lh,2869.9376907348633,774.5412998199463,0.0012652258357541968,0.0007434712275110311,0.0005217546082431657,其他,lh
soc_avalanche_5m|lh,2012.1246795654297,395.092001914978,0.0008870548435819707,0.00037924321880809136,0.0005078116247738794,其他,lh
child_size_quantization_5m|lh,6067.676517486572,2286.143801689148,0.0026749643790898226,0.002194437067337381,0.0004805273117524417,大单/分单,lh
liq_percolation_5m|std,3511.3242893218994,1153.2712907791138,0.0015479842028987586,0.0011070087836608585,0.00044097541923790017,其他,std
humble_buildup_vs_display_5m|std,3900.196081161499,1333.6576099395752,0.0017194202028578754,0.001280159057459817,0.00043926114539805843,情绪/行为偏差,std
passive_buy_poison_asym_5m|lh,2447.517496109009,686.3622035980225,0.0010789998610543433,0.0006588293615134824,0.0004201704995408608,其他,lh
flow_market_beta_residual_5m|lh,2363.9695835113525,669.8843984603882,0.0010421673619087533,0.0006430125496595343,0.00039915481224921893,其他,lh
retained_demand_imb_5m|mean,1769.326000213623,399.95849990844727,0.0007800158778947938,0.00038391450133069615,0.0003961013765640976,其他,mean
fill_frag_5m|std,3442.7929859161377,1177.045901298523,0.0015177718481473644,0.001129829695690431,0.0003879421524569334,其他,std
exploratory_spread_width_5m|mean,16376.57526397705,7143.060851097107,0.007219691978696368,0.006856522977387648,0.0003631690013087205,流动性/枯竭,mean
size_markout_slope_5m|std,2238.3930082321167,652.3342027664185,0.0009868063246563597,0.0006261663652937843,0.00036063995936257544,大单/分单,std
red_queen_queue_arms_race_5m|std,2959.737886428833,994.8858995437622,0.0013048146839771354,0.0009549768890815305,0.00034983779489560494,队列/排队,std
perishable_opportunity_urgency_5m|mean,2573.3735027313232,831.3412027359009,0.001134484086958436,0.0007979926501301334,0.00033649143682830255,其他,mean
order_footprint_persistence_5m|std,3591.080726623535,1298.9004020690918,0.0015831452119225821,0.0012467961057278285,0.0003363491061947536,其他,std
ud_vol_asym_5m|lh,1253.531702041626,271.45009994506836,0.0005526254805043844,0.00026056110766600445,0.00029206437283837993,其他,lh
overpay_regret_mag_5m|mean,3227.994884490967,1183.5096988677979,0.0014230770719257631,0.0011360342034608091,0.00028704286846495397,情绪/行为偏差,mean
sunk_wait_hazard_slope_5m|std,1984.6789951324463,620.0405006408691,0.0008749552815821854,0.000595168097847311,0.0002797871837348744,其他,std
cancel_resize_split_intensity_5m|std,2375.2338886260986,802.0153036117554,0.0010471332850014409,0.00076984313476567,0.0002772901502357709,撤单/犹豫,std
sacrificial_dump_capitulation_5m|lh,1658.9860019683838,488.18589878082275,0.000731371958917862,0.00046860273235853003,0.00026276922655933194,其他,lh
hysteresis_loop_5m|mean,1535.750202178955,435.8511028289795,0.000677042863799601,0.00041836730269596546,0.0002586755611036355,其他,mean
size_distribution_regime_shift_5m|mean,3172.8719005584717,1196.055890083313,0.001398775839310013,0.0011480771147758745,0.00025069872453413857,大单/分单,mean
queue_position_adverse_fill_5m|mean,2052.2462978363037,722.6194000244141,0.0009047426519871697,0.0006936321310230029,0.0002111105209641668,队列/排队,mean
red_queen_queue_arms_race_5m|lh,1546.9324131011963,498.89710330963135,0.0006819725952726385,0.0004788842659333133,0.00020308832933932516,队列/排队,lh
third_party_spoof_punishment_5m|std,1214.118797302246,350.7743978500366,0.0005352501118685538,0.00033670337812797613,0.0001985467337405777,其他,std
price_level_occupancy_5m|std,1890.308692932129,676.6518993377686,0.0008333516799230846,0.0006495085779354411,0.00018384310198764353,队列/排队,std
